* YY  MM DD HR MIN     Sec          dNorth      +-            dEast        +-          dHeight      +-        RMS    #      Atm     +-         Fract DOY     Epoch  #BF NotF  Rho_UA
*                                    (m)        (m)            (m)        (m)         (m)           (m)      (mm)   DD      (mm)    (mm)
 2021  7 23 17 41   0.000000        81.7204    0.0114          3.6473    0.0105         -1.0874    0.0352    19.94  10     45.84     3.69   204.73680555556    143  54  10 S -0.351
 2021  7 23 17 41  30.000000        81.7171    0.0114          3.6435    0.0105         -1.0813    0.0351    17.82  10     46.07     3.69   204.73715277777    144  54  10 S -0.351
 2021  7 23 17 42   0.000000        81.7169    0.0114          3.6463    0.0105         -1.0871    0.0350    16.41  10     46.27     3.69   204.73750000000    145  54  10 S -0.351
 2021  7 23 17 42  30.000000        81.7152    0.0115          3.6475    0.0105         -1.0878    0.0348    17.33  10     46.46     3.69   204.73784722222    146  54  10 S -0.351
 2021  7 23 17 43   0.000000        81.7149    0.0115          3.6431    0.0105         -1.0921    0.0347    18.23  10     46.63     3.69   204.73819444445    147  54  10 S -0.351
 2021  7 23 17 43  30.000000        81.7185    0.0115          3.6445    0.0105         -1.0999    0.0346    18.80  10     46.78     3.68   204.73854166667    148  54  10 S -0.351
 2021  7 23 17 44   0.000001        81.7155    0.0115          3.6474    0.0105         -1.0924    0.0344    16.06  10     46.93     3.68   204.73888888890    149  54  10 S -0.352
 2021  7 23 17 44  29.999999        81.7162    0.0115          3.6445    0.0105         -1.0873    0.0343    18.75  10     47.04     3.68   204.73923611110    150  54  10 S -0.352
 2021  7 23 17 45   0.000000        81.7124    0.0116          3.6424    0.0105         -1.0958    0.0342    17.22  10     47.13     3.68   204.73958333334    151  54  10 S -0.353
 2021  7 23 17 45  29.999999        81.7115    0.0116          3.6448    0.0105         -1.0990    0.0341    20.76  10     47.20     3.68   204.73993055554    152  54  10 S -0.353
 2021  7 23 17 46   0.000000        81.7144    0.0116          3.6448    0.0105         -1.0991    0.0339    21.72  10     47.24     3.69   204.74027777778    153  54  10 S -0.354
 2021  7 23 17 46  29.999999        81.7147    0.0116          3.6476    0.0105         -1.0986    0.0338    22.30  10     47.26     3.69   204.74062499999    154  54  10 S -0.354
 2021  7 23 17 47   0.000000        81.7153    0.0117          3.6458    0.0105         -1.0936    0.0337    22.50  10     47.28     3.69   204.74097222222    155  54  10 S -0.355
 2021  7 23 17 47  29.999999        81.7128    0.0117          3.6457    0.0106         -1.0948    0.0336    23.75  10     47.28     3.69   204.74131944444    156  54  10 S -0.356
 2021  7 23 17 48   0.000000        81.7080    0.0117          3.6485    0.0106         -1.0999    0.0334    23.89  10     47.27     3.70   204.74166666667    157  54  10 S -0.357
 2021  7 23 17 48  30.000000        81.7126    0.0117          3.6455    0.0106         -1.1108    0.0333    25.86  10     47.25     3.70   204.74201388888    158  54  10 S -0.358
 2021  7 23 17 49   0.000000        81.7128    0.0117          3.6471    0.0106         -1.1092    0.0332    26.38  10     47.23     3.71   204.74236111112    159  54  10 S -0.359
 2021  7 23 17 49  30.000000        81.7150    0.0118          3.6461    0.0106         -1.1049    0.0331    27.76  10     47.20     3.72   204.74270833333    160  54  10 S -0.360
 2021  7 23 17 50   0.000001        81.7112    0.0118          3.6469    0.0106         -1.1165    0.0330    28.90  10     47.18     3.73   204.74305555556    161  54  10 S -0.362
 2021  7 23 17 50  30.000000        81.7147    0.0118          3.6463    0.0106         -1.1190    0.0329    31.96  10     47.18     3.74   204.74340277778    162  54  10 S -0.364
 2021  7 23 17 51   0.000001        81.7176    0.0119          3.6497    0.0106         -1.1013    0.0327    27.60  10     47.21     3.75   204.74375000001    163  54  10 S -0.365
 2021  7 23 17 51  29.999999        81.7132    0.0119          3.6463    0.0106         -1.0967    0.0326    24.82  10     47.24     3.77   204.74409722221    164  54  10 S -0.368
 2021  7 23 17 52   0.000000        81.7143    0.0119          3.6442    0.0106         -1.1003    0.0325    24.22  10     47.26     3.79   204.74444444445    165  54  10 S -0.370
 2021  7 23 17 52  29.999999        81.7140    0.0119          3.6403    0.0106         -1.1003    0.0325    27.09  10     47.27     3.80   204.74479166666    166  54  10 S -0.372
 2021  7 23 17 53   0.000000        81.7138    0.0120          3.6425    0.0106         -1.0957    0.0324    26.42  10     47.28     3.83   204.74513888889    167  54  10 S -0.375
 2021  7 23 17 53  29.999999        81.7156    0.0120          3.6447    0.0107         -1.1047    0.0323    27.73  10     47.28     3.85   204.74548611110    168  54  10 S -0.378
