* YY  MM DD HR MIN     Sec          dNorth      +-            dEast        +-          dHeight      +-        RMS    #      Atm     +-         Fract DOY     Epoch  #BF NotF  Rho_UA
*                                    (m)        (m)            (m)        (m)         (m)           (m)      (mm)   DD      (mm)    (mm)
 2021  7 23 17  0  29.999999      -315.2271    0.0113        289.6044    0.0120          7.2955    0.0567    21.48   7     23.83     4.51   204.70868055554     62  51  10 S -0.264
 2021  7 23 17  1   0.000000      -315.2270    0.0113        289.6038    0.0120          7.3032    0.0567    22.94   7     23.58     4.45   204.70902777778     63  52  10 S -0.261
 2021  7 23 17  1  29.999999      -315.2258    0.0111        289.6049    0.0114          7.2972    0.0510    32.00   8     23.34     4.38   204.70937499999     64  52  10 S -0.391
 2021  7 23 17  2   0.000000      -315.2254    0.0113        289.6013    0.0119          7.2886    0.0566    20.41   7     23.11     4.32   204.70972222222     65  52  10 S -0.252
 2021  7 23 17  2  29.999999      -315.2237    0.0111        289.6047    0.0113          7.3102    0.0505    28.71   8     22.89     4.25   204.71006944444     66  53  10 S -0.380
 2021  7 23 17  3   0.000000      -315.2200    0.0111        289.6043    0.0113          7.3004    0.0503    27.30   8     22.66     4.19   204.71041666667     67  53  10 S -0.374
 2021  7 23 17  3  30.000000      -315.2199    0.0111        289.6032    0.0113          7.3080    0.0501    25.79   8     22.43     4.14   204.71076388888     68  53  10 S -0.368
 2021  7 23 17  4   0.000000      -315.2203    0.0111        289.6065    0.0113          7.3135    0.0499    25.62   8     22.21     4.09   204.71111111112     69  53  10 S -0.363
 2021  7 23 17  4  30.000000      -315.2220    0.0111        289.6066    0.0112          7.3280    0.0497    22.58   8     22.00     4.04   204.71145833333     70  53  10 S -0.358
 2021  7 23 17  5   0.000001      -315.2232    0.0111        289.6033    0.0112          7.3110    0.0495    22.03   8     21.80     4.00   204.71180555556     71  53  10 S -0.353
 2021  7 23 17  5  30.000000      -315.2244    0.0111        289.6060    0.0112          7.3148    0.0493    22.04   8     21.61     3.96   204.71215277778     72  53  10 S -0.348
 2021  7 23 17  6   0.000001      -315.2193    0.0111        289.6046    0.0112          7.3060    0.0491    21.41   8     21.43     3.92   204.71250000001     73  53  10 S -0.344
