* YY  MM DD HR MIN     Sec          dNorth      +-            dEast        +-          dHeight      +-        RMS    #      Atm     +-         Fract DOY     Epoch  #BF NotF  Rho_UA
*                                    (m)        (m)            (m)        (m)         (m)           (m)      (mm)   DD      (mm)    (mm)
 2021  7 23 16 59  30.000353        48.4517    0.0111         61.3878    0.0109          0.3205    0.0380    18.60   9     29.22     3.34   204.70798611519     60  48  10 S -0.297
 2021  7 23 17  0   0.000354        48.4511    0.0111         61.3859    0.0109          0.3223    0.0381    15.89   9     28.80     3.32   204.70833333742     61  47  10 S -0.294
 2021  7 23 17  0  30.000353        48.4501    0.0109         61.3856    0.0107          0.3027    0.0368    33.58  10     28.37     3.29   204.70868055964     62  51  10 S -0.351
 2021  7 23 17  1   0.000354        48.4500    0.0109         61.3854    0.0107          0.3049    0.0368    32.33  10     27.98     3.26   204.70902778187     63  52  10 S -0.348
 2021  7 23 17  1  30.000353        48.4542    0.0109         61.3880    0.0108          0.3115    0.0374    29.52  10     27.63     3.25   204.70937500409     64  52  10 S -0.331
 2021  7 23 17  2   0.000354        48.4551    0.0109         61.3844    0.0107          0.3107    0.0369    30.68  10     27.30     3.23   204.70972222632     65  52  10 S -0.343
 2021  7 23 17  2  30.000353        48.4555    0.0109         61.3846    0.0107          0.3101    0.0369    29.60  10     27.01     3.22   204.71006944853     66  53  10 S -0.342
 2021  7 23 17  3   0.000354        48.4559    0.0109         61.3846    0.0107          0.3143    0.0370    26.72  10     26.75     3.22   204.71041667076     67  53  10 S -0.341
 2021  7 23 17  3  30.000354        48.4559    0.0109         61.3846    0.0106          0.3120    0.0371    22.70  10     26.53     3.21   204.71076389298     68  53  10 S -0.340
 2021  7 23 17  4   0.000354        48.4541    0.0109         61.3838    0.0106          0.3096    0.0371    22.84  10     26.33     3.21   204.71111111521     69  53  10 S -0.339
 2021  7 23 17  4  30.000354        48.4526    0.0109         61.3862    0.0106          0.3092    0.0372    20.20  10     26.14     3.22   204.71145833743     70  53  10 S -0.338
 2021  7 23 17  5   0.000354        48.4503    0.0109         61.3855    0.0106          0.3104    0.0373    20.53  10     25.95     3.22   204.71180555966     71  53  10 S -0.338
 2021  7 23 17  5  30.000354        48.4533    0.0109         61.3887    0.0106          0.3081    0.0374    20.67  10     25.77     3.23   204.71215278187     72  53  10 S -0.338
 2021  7 23 17  6   0.000353        48.4551    0.0108         61.3908    0.0106          0.3227    0.0374    19.43  10     25.62     3.24   204.71250000409     73  53  10 S -0.338
 2021  7 23 17  6  30.000353        48.4551    0.0108         61.3933    0.0106          0.3222    0.0375    18.68  10     25.47     3.25   204.71284722631     74  53  10 S -0.338
 2021  7 23 17  7   0.000354        48.4527    0.0108         61.3901    0.0106          0.3156    0.0376    13.23  10     25.32     3.26   204.71319444854     75  54  10 S -0.338
